"idauniq","W4_Drink","W5_Drink","W6_Drink","W7_Drink","W8_Drink","Sex"
104528,1,1,1,1,1,1
104531,2,2,2,-99,2,1
104533,2,1,2,2,2,2
104537,3,4,3,3,3,2
104540,-99,2,2,2,2,2
104545,-99,-99,-99,-99,-99,2
104548,3,2,3,3,3,2
104553,4,4,4,4,4,2
104554,3,2,2,2,2,2
104557,1,2,2,1,1,2
104563,3,3,3,3,2,2
104564,1,1,1,-99,1,1
104566,2,2,2,2,2,1
104569,2,2,1,2,2,1
104570,2,2,3,2,2,1
104583,4,4,4,4,3,2
104586,2,3,2,2,2,2
104587,3,2,1,1,3,2
104594,2,2,-99,2,1,2
104597,2,1,2,2,2,2
104598,-99,2,3,3,3,2
104605,3,3,3,3,3,1
104607,1,1,1,2,1,2
104608,1,2,2,2,2,2
104617,-99,1,1,2,2,1
104624,-99,-99,-99,-99,-99,2
104627,3,2,2,2,2,1
104632,1,2,2,2,1,2
104634,-99,-99,-99,-99,-99,2
104642,2,2,2,2,2,1
104648,2,2,2,2,2,2
104650,3,2,3,2,3,2
104659,2,2,2,2,2,2
104666,3,3,3,3,2,1
104668,3,2,2,2,2,2
104669,3,3,3,3,2,2
104676,1,1,-99,-99,-99,2
104677,2,2,2,2,2,2
104678,3,3,2,3,3,1
104680,1,1,1,-99,-99,2
104685,2,2,1,2,1,1
104686,2,-99,-99,-99,2,1
104693,2,2,2,2,2,2
104695,2,2,1,2,1,2
104698,1,1,-99,-99,1,2
104700,-99,1,1,1,1,2
104702,2,2,2,1,2,2
104711,3,3,-99,-99,3,1
104714,1,-99,1,-99,-99,2
104715,-99,-99,2,3,3,2
104724,-99,-99,-99,-99,-99,1
104726,4,3,3,4,2,2
104727,2,2,2,1,1,1
104730,-99,-99,1,-99,1,2
104737,-99,2,2,2,2,2
104739,2,3,-99,2,2,1
104741,2,2,2,2,2,2
104742,2,2,2,2,-99,1
104753,2,3,2,2,2,1
104757,2,2,2,2,2,2
104758,1,2,1,1,1,2
104760,2,2,2,2,2,2
104765,3,4,4,3,3,2
104767,-99,-99,1,1,1,1
104771,2,1,1,1,1,2
104772,1,1,1,1,1,2
104773,2,2,1,3,1,1
104793,3,3,3,3,4,1
104800,-99,-99,-99,-99,1,1
104804,3,3,3,3,2,2
104806,2,3,2,1,2,2
104807,3,3,3,1,2,2
104811,2,3,2,2,3,1
104813,2,2,2,-99,2,2
104814,1,-99,1,1,1,2
104817,2,2,2,2,1,2
104819,3,3,3,3,3,1
104822,3,4,-99,-99,2,1
104826,2,2,2,2,1,1
104828,3,2,3,2,2,1
104829,2,2,-99,2,2,2
104830,2,2,1,2,2,2
104832,4,2,2,2,2,1
104833,3,3,1,3,3,1
104837,3,1,3,3,3,2
104845,3,3,2,3,3,1
104857,3,3,4,3,2,1
104858,2,4,1,2,2,1
104860,2,2,2,-99,2,2
104869,3,3,2,3,3,1
104872,1,1,1,-99,1,2
104873,3,3,3,3,2,2
104874,2,-99,2,-99,1,2
104875,3,3,3,3,3,2
104877,3,3,3,3,2,1
104879,-99,4,4,4,4,2
104885,2,2,1,2,2,2
104886,-99,1,1,-99,-99,2
104889,3,2,3,2,3,1
104892,1,1,1,1,1,2
104897,4,3,-99,3,-99,2
104898,1,1,-99,-99,-99,2
104899,2,2,2,2,2,2
104901,-99,-99,-99,-99,-99,2
104907,2,3,3,2,2,1
104908,-99,-99,1,-99,-99,2
104916,2,2,2,2,2,2
104925,3,2,3,3,3,1
104928,2,2,2,2,2,1
104935,2,2,2,2,1,2
104936,2,2,2,2,2,2
104947,3,2,2,3,3,1
104952,2,3,1,2,2,1
104954,2,2,2,2,2,2
104957,2,2,3,2,2,1
104966,1,2,-99,-99,-99,2
104968,3,2,2,1,3,2
104971,-99,-99,-99,-99,-99,1
104972,2,3,2,3,3,1
104982,2,-99,-99,1,-99,2
104991,-99,1,-99,1,1,2
104993,2,2,2,2,2,2
