"idauniq","Paternal_Occ_Intermediate","Paternal_Occ_High","Self_Occ_Intermediate","Self_Occ_High","Education_Intermediate","Education_Degree","Wealth_Second_Tertile","Wealth_Third_Tertile","Age","Sex"
104468,0,1,0,0,0,1,0,0,59,2
104469,0,1,0,1,1,0,1,0,58,1
104470,0,1,0,1,0,1,0,1,64,2
104473,0,0,0,1,1,0,0,1,64,2
104475,1,0,0,0,1,0,1,0,62,1
104477,0,1,0,1,1,0,0,0,86,2
104478,0,0,0,0,1,0,0,0,57,2
104482,1,0,0,0,1,0,1,0,60,1
104488,1,0,0,0,1,0,0,0,71,2
104489,0,1,0,1,0,1,1,0,63,2
104490,1,0,0,0,1,0,1,0,62,2
104491,0,0,0,0,1,0,1,0,78,2
104492,0,0,0,0,1,0,0,0,59,2
104496,1,0,0,1,1,0,1,0,64,1
104497,0,1,1,0,1,0,1,0,61,2
104505,0,1,0,1,0,1,1,0,61,1
104510,0,1,0,0,0,0,0,0,71,2
104511,0,1,-99,-99,0,0,1,0,83,2
104512,-99,-99,0,1,0,0,0,0,67,2
104517,0,1,0,1,1,0,0,1,56,2
104521,0,1,0,1,1,0,0,1,57,2
104523,1,0,1,0,0,1,0,0,69,1
104526,-99,-99,1,0,1,0,1,0,70,2
104528,1,0,1,0,1,0,1,0,59,1
104531,1,0,0,0,1,0,0,0,69,1
104533,0,0,1,0,1,0,1,0,73,2
104537,1,0,1,0,1,0,1,0,68,2
104540,0,1,0,0,0,0,1,0,66,2
104545,1,0,0,0,0,0,1,0,81,2
104548,0,1,0,1,1,0,1,0,56,2
104553,0,1,1,0,1,0,0,1,69,2
104554,0,1,0,1,1,0,1,0,73,2
104557,0,0,1,0,1,0,0,1,73,2
104563,0,1,1,0,0,0,0,1,74,2
104564,0,0,0,0,1,0,0,1,76,1
104566,0,0,0,0,1,0,0,0,78,1
104569,1,0,0,1,1,0,1,0,58,1
104570,0,1,0,1,0,1,0,1,63,1
104583,0,1,0,1,1,0,1,0,67,2
104586,0,1,0,1,0,0,0,1,54,2
104587,0,1,1,0,0,1,0,1,62,2
104594,0,1,0,1,0,1,1,0,65,2
104597,0,1,0,0,0,1,1,0,59,2
104598,0,0,0,1,1,0,0,1,64,2
104605,0,1,0,0,1,0,1,0,58,1
104607,0,0,0,1,1,0,1,0,59,2
104608,0,1,0,0,1,0,0,1,69,2
104617,0,0,0,0,0,0,0,0,59,1
104624,0,0,0,0,1,0,1,0,66,2
104627,-99,-99,0,0,1,0,0,1,37,1
104632,1,0,0,0,1,0,0,0,77,2
104634,1,0,1,0,0,0,0,1,76,2
104642,1,0,0,1,1,0,1,0,57,1
104648,0,1,1,0,0,1,1,0,69,2
104650,0,1,1,0,1,0,0,1,72,2
104659,0,0,1,0,1,0,0,1,59,2
104666,0,0,0,1,0,1,1,0,59,1
104668,0,1,0,1,1,0,1,0,74,2
104669,0,1,1,0,1,0,0,1,57,2
104676,1,0,0,1,1,0,0,1,67,2
104677,0,1,1,0,1,0,0,1,63,2
104678,0,1,0,1,1,0,0,1,70,1
104680,0,1,0,1,0,1,0,1,70,2
104685,0,1,1,0,1,0,0,1,77,1
104686,1,0,1,0,1,0,0,0,71,1
104693,0,0,0,0,0,0,1,0,69,2
104695,0,1,1,0,1,0,0,1,61,2
104698,0,1,0,1,1,0,0,0,70,2
104700,0,0,0,0,0,0,1,0,57,2
104702,0,0,0,1,0,1,0,1,58,2
104711,0,1,0,0,1,0,0,1,63,1
104714,0,1,0,0,1,0,0,0,78,2
104715,-99,-99,1,0,1,0,0,0,59,2
104724,1,0,0,1,1,0,0,1,65,1
104726,0,1,1,0,1,0,0,0,50,2
104727,1,0,0,1,1,0,0,1,58,1
104730,0,1,0,1,1,0,0,1,62,2
104737,0,1,1,0,1,0,1,0,52,2
104739,1,0,1,0,1,0,0,0,56,1
104741,0,1,0,0,0,1,1,0,61,2
104742,0,1,0,1,1,0,1,0,75,1
104753,0,1,0,1,1,0,0,0,59,1
104757,0,0,0,1,1,0,0,0,72,2
104758,0,1,0,1,1,0,1,0,62,2
104760,1,0,0,1,1,0,1,0,69,2
104765,1,0,0,0,1,0,-99,-99,61,2
104767,0,0,0,1,0,0,1,0,77,1
104771,1,0,0,0,0,0,0,1,64,2
104772,0,0,0,0,1,0,-99,-99,52,2
104773,0,1,0,1,0,1,1,0,57,1
104793,0,0,0,1,0,1,-99,-99,58,1
104800,1,0,0,0,0,0,0,0,86,1
